IDENTIFICATIVO;ENTE;NOME_PROCEDURA;NOME_LOTTO;STATO;DATA_INIZIO_NEGOZIAZIONE;DATA_FINE_NEGOZIAZIONE;BASE_ASTA;ANNO_COSTRUZIONE;PROVINCIA;COMUNE;INDIRIZZO;METRI_QUADRATI;DESTINAZIONE;N_LOCALI;PIANO;TITOLO;BOX;POSTO_AUTO;ASCENSORE;TIPO_RISCALDAMENTO;CLASSE_ENERGETICA;NOTE;SPESE_ANNUE_CONDOMINIALI;MODALITA_PAGAMENTO;IMPORTO_CAUZIONE;SPESE_CARICO_AGGIUDICATARIO;LINK_DETTAGLIO_IMMOBILE;LINK_GARA;MUNICIPIO;ID_NIL;NIL;GEO_X;GEO_Y;LOCATION
63926412;Città metropolitana di Milano;BANDO PER LA VENDITA DI APPARTAMENTI DI EDILIZIA RESIDENZIALE PUBBLICA CUCCHI - BOIARDO;LOTTO 1 - UNITA' IMMOBILIARE VIA CUCCHI, 5 - N°1 APPARTAMENTO;Chiusa;10/09/2014 12:00:00 AM;11/07/2014 12:00:00 AM;166500;;MI;MILANO;VIA CUCCHI, 5;oltre 100  mq;Immobile residenziale;4;;;No;No;;;D;;;;superiore a  10000 euro;;http://www.sintel.regione.lombardia.it/eprocdata/showcaseLotDetail.xhtml?id=63926415;http://www.sintel.regione.lombardia.it/eprocdata/showcaseDetail.xhtml?id=63926412;4;25;CORSICA;9.23667131;45.46847551;(45.46847551, 9.23667131)
76389416;Città metropolitana di Milano;VENDITA PORZ. IMMOB. V.LE VITTORIO VENETO, 2/P.ZZA OBERDAN, MILANO;Lotto 2 - D3 Fg. 314 mappale 237, sub. 701 quota parte;Chiusa;04/19/2016 12:00:00 AM;05/31/2016 12:00:00 AM;4029000;;MI;MILANO;PIAZZA OBERDAN 2;oltre 100  mq;Immobile per l'impresa;5;Piano terra;;No;No;Si;Centralizzato;C;Piano primo ex mostre di mq 754  e piano terra: ingresso da Viale Vittorio Veneto e spazio di connessione orizzontale e verticale mq 62,00 e vetrina lato sinistro mq 56.;;;superiore a  10000 euro;;http://www.sintel.regione.lombardia.it/eprocdata/showcaseLotDetail.xhtml?id=76389418;http://www.sintel.regione.lombardia.it/eprocdata/showcaseDetail.xhtml?id=76389416;1;4;GUASTALLA;9.20625861;45.47395082;(45.47395082, 9.20625861)
64217077;Città metropolitana di Milano;Alienazione Stabile Provinciale di Corso di Porta Vittoria 27 a Milano;STABILE PROVINCIALE DI PORTA VITTORIA;Chiusa;11/18/2014 12:00:00 AM;12/02/2014 12:00:00 AM;45000000;;Altro - fuori Lombardia;MILANO;CORSO DI PORTA VITTORIA;oltre 100  mq;Immobile ad uso collettivo;oltre 5;;;Si;Si;Si;Centralizzato;E;;;;superiore a  10000 euro;;http://www.sintel.regione.lombardia.it/eprocdata/showcaseLotDetail.xhtml?id=64217078;http://www.sintel.regione.lombardia.it/eprocdata/showcaseDetail.xhtml?id=64217077;1;1;DUOMO;9.19760975;45.46272125;(45.46272125, 9.19760975)
76389416;Città metropolitana di Milano;VENDITA PORZ. IMMOB. V.LE VITTORIO VENETO, 2/P.ZZA OBERDAN, MILANO;Lotto 1 - A/10 Fg. 314 mappale 237, sub. 702-705-706.;Chiusa;04/19/2016 12:00:00 AM;05/31/2016 12:00:00 AM;4800000;;MI;MILANO;PIAZZA OBERDAN 2;oltre 100  mq;Immobile per l'impresa;oltre 5;3;;No;No;Si;Centralizzato;D;Porzione unità immobiliari ex uffici al piano secondo mq 557,00 e terzo mq 460,00 e piano interrato mq 14,75cantine.;;;superiore a  10000 euro;;http://www.sintel.regione.lombardia.it/eprocdata/showcaseLotDetail.xhtml?id=76389417;http://www.sintel.regione.lombardia.it/eprocdata/showcaseDetail.xhtml?id=76389416;1;4;GUASTALLA;9.20625861;45.47395082;(45.47395082, 9.20625861)
63924489;Città metropolitana di Milano;Allienazione immobile cielo-terra ubicati in Milano;LOTTO 2: IMMOBILE CIELO-TERRA VIA SETTEMBRINI, 32;Chiusa;10/23/2014 12:00:00 AM;11/07/2014 12:00:00 AM;5404500;;MI;MILANO;VIA SETTEMBRINI, 32;oltre 100  mq;Immobile residenziale;oltre 5;;;No;Si;;;G;;;;superiore a  10000 euro;;http://www.sintel.regione.lombardia.it/eprocdata/showcaseLotDetail.xhtml?id=63924490;http://www.sintel.regione.lombardia.it/eprocdata/showcaseDetail.xhtml?id=63924489;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.20703308;45.48278885;(45.48278885, 9.20703308)
63924489;Città metropolitana di Milano;Allienazione immobile cielo-terra ubicati in Milano;LOTTO 1: IMMOBILE CIELO-TERRA VIA ASSIETTA, 14;Chiusa;10/23/2014 12:00:00 AM;11/07/2014 12:00:00 AM;4843800;;MI;MILANO;VIA ASSIETTA, 14;oltre 100  mq;Immobile residenziale;oltre 5;;;No;Si;;;G;;;;superiore a  10000 euro;;http://www.sintel.regione.lombardia.it/eprocdata/showcaseLotDetail.xhtml?id=63924491;http://www.sintel.regione.lombardia.it/eprocdata/showcaseDetail.xhtml?id=63924489;9;81;BOVISASCA;9.16382753;45.51828508;(45.51828508, 9.16382753)
49000040;ALER Milano;ASTA PUBBLICA PER LA VENDITA DI BENI IMMOBILI DI PROPRIETA' DI AZIENDA RESIDENZIALE ALER;COMPLESSO DI EDILIZIA RESIDENZIALE LIBERA COSTITUITO DA N. 9 UNITA IMMOBILIARIVILLETTE, SITE IN MILANO, NEL COMPARTO DENOMINATO QUARTIERE DEL SARTO;Chiusa;12/27/2012 12:00:00 AM;02/28/2013 12:00:00 AM;8376480;1924;MI;MILANO;Via A. Del Sarto 26;oltre 100  mq;Immobile residenziale;oltre 5;;;No;Si;;;-;Per accedere alla procedura on-line collegarsi al sito https://www.astevendita.arcalombardia.it;;;superiore a  10000 euro;;http://www.sintel.regione.lombardia.it/eprocdata/showcaseLotDetail.xhtml?id=49000041;http://www.sintel.regione.lombardia.it/eprocdata/showcaseDetail.xhtml?id=49000040;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.2225063;45.4722843;(45.4722843, 9.2225063)
63926412;Città metropolitana di Milano;BANDO PER LA VENDITA DI APPARTAMENTI DI EDILIZIA RESIDENZIALE PUBBLICA CUCCHI - BOIARDO;LOTTO 2 UNITA' IMMOBILIARE VIA BOIARDO 2° PIANO;Chiusa;10/09/2014 12:00:00 AM;11/07/2014 12:00:00 AM;142798;;MI;MILANO;VIA BOIARDO, 8;60 mq - 80 mq;Immobile residenziale;4;;;No;No;;;G;;;;superiore a  10000 euro;;http://www.sintel.regione.lombardia.it/eprocdata/showcaseLotDetail.xhtml?id=63926414;http://www.sintel.regione.lombardia.it/eprocdata/showcaseDetail.xhtml?id=63926412;2;19;PADOVA - TURRO - CRESCENZAGO;9.22174898;45.50007417;(45.50007417, 9.22174898)
49000040;ALER Milano;ASTA PUBBLICA PER LA VENDITA DI BENI IMMOBILI DI PROPRIETA' DI AZIENDA RESIDENZIALE ALER;"COMPLESSO DI EDILIZIA RESIDENZIALE LIBERA COSTITUITO DA N. 9 UNITA' IMMOBILIARIVILLETTE, SITE IN MILANO, NEL COMPARTO DENOMINATO ""QUARTIERE DEL SARTO""";Chiusa;12/27/2012 12:00:00 AM;02/28/2013 12:00:00 AM;8376480;1924;MI;MILANO;Via A. Del Sarto 26;oltre 100  mq;Immobile residenziale;;;;;;;;;Per accedere alla procedura on-line collegarsi al sito https://www.astevendita.arcalombardia.it;;;superiore a  10000 euro;;http://www.sintel.regione.lombardia.it/eprocdata/showcaseLotDetail.xhtml?id=49000041;http://www.sintel.regione.lombardia.it/eprocdata/showcaseDetail.xhtml?id=49000040;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.2225063;45.4722843;(45.4722843, 9.2225063)
66475495;Camera di Commercio di Milano Monza Brianza Lodi;Asta per l'immobile ubicato in Via Antonello da Messina 24  MI;Immobile di  Via Antonello da Messina 24  MI;Chiusa;03/12/2015 12:00:00 AM;04/01/2015 12:00:00 AM;310000;;MI;MILANO;Via A. da Messina 24;oltre 100  mq;Immobile residenziale;5;7;;No;No;Si;Centralizzato;C;Immobile in Pza Gambara , salone doppio, 2 bagni, 3 camere da letto, cucina abitabile, condizionatore, videocitofono,mq 122;;;superiore a  10000 euro;;http://www.sintel.regione.lombardia.it/eprocdata/showcaseLotDetail.xhtml?id=66475496;http://www.sintel.regione.lombardia.it/eprocdata/showcaseDetail.xhtml?id=66475495;7;52;BANDE NERE;9.14281318;45.46521541;(45.46521541, 9.14281318)
63926412;Città metropolitana di Milano;BANDO PER LA VENDITA DI APPARTAMENTI DI EDILIZIA RESIDENZIALE PUBBLICA CUCCHI - BOIARDO;LOTTO 3 UNITA' IMMOBILIARE VIA BOIARDO 3° PIANO;Chiusa;10/09/2014 12:00:00 AM;11/07/2014 12:00:00 AM;168280;;MI;MILANO;VIA BOIARDO, 8;60 mq - 80 mq;Immobile residenziale;4;;;No;No;;;F;;;;superiore a  10000 euro;;http://www.sintel.regione.lombardia.it/eprocdata/showcaseLotDetail.xhtml?id=63926413;http://www.sintel.regione.lombardia.it/eprocdata/showcaseDetail.xhtml?id=63926412;2;19;PADOVA - TURRO - CRESCENZAGO;9.22174898;45.50007417;(45.50007417, 9.22174898)
141073665;ASST PAPA GIOVANNI XXIII;ASTE PUBBLICHE PER LA VENDITA E LA LOCAZIONE DI N. 11 IMMOBILI;B;Chiusa;05/27/2021 12:00:00 AM;07/29/2021 12:00:00 AM;118700;;MI;MILANO;Via Porpora, 152;Fino a 60 mq;Immobile residenziale;2;;;No;No;Si;;B;-;;;tra 3001 e 10000 euro;;http://www.sintel.regione.lombardia.it/eprocdata/showcaseLotDetail.xhtml?id=141073675;http://www.sintel.regione.lombardia.it/eprocdata/showcaseDetail.xhtml?id=141073665;3;22;CITTA' STUDI;9.23139935;45.48608377;(45.48608377, 9.23139935)
141073665;ASST PAPA GIOVANNI XXIII;ASTE PUBBLICHE PER LA VENDITA E LA LOCAZIONE DI N. 11 IMMOBILI;A;Chiusa;05/27/2021 12:00:00 AM;07/29/2021 12:00:00 AM;456000;;MI;MILANO;Via Juvara, 12;oltre 100  mq;Immobile residenziale;5;;;No;No;Si;;D;-;;;superiore a  10000 euro;;http://www.sintel.regione.lombardia.it/eprocdata/showcaseLotDetail.xhtml?id=141073676;http://www.sintel.regione.lombardia.it/eprocdata/showcaseDetail.xhtml?id=141073665;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.22041629;45.47338755;(45.47338755, 9.22041629)
148223654;ATS DELLA CITTA METROPOLITANA DI MILANO;BANDO PER LA VENDITA ALL'ASTA DI N. 1 IMMOBILE;CORSO MAGENTA 88;Aperta;11/30/2021 12:00:00 AM;03/11/2022 12:00:00 AM;1160000;;MI;MILANO;CORSO MAGENTA 88;oltre 100  mq;Immobile residenziale;oltre 5;1;;No;No;Si;Autonomo;E;IL SOPRALLUOGO E' DA INTENDERSI FACOLTATIVO, SU RICHIESTA DELL'INTERESSATO.;;;superiore a  10000 euro;;http://www.sintel.regione.lombardia.it/eprocdata/showcaseLotDetail.xhtml?id=148223655;http://www.sintel.regione.lombardia.it/eprocdata/showcaseDetail.xhtml?id=148223654;1;7;MAGENTA - S. VITTORE;9.16690048;45.46592032;(45.46592032, 9.16690048)
